==> Use accelerator:  cpu
==>当前使用的模型为：CNN
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.83149,Test Loss:1.11408, Train_MSE:0.83149, Train_RMSE:0.91186, Train_MAE:0.64062,Test_MSE:1.11408, Test_RMSE:1.05550, Test_MAE:0.75254, Time:0:00:00 *
Epochs:1950, Train Loss:0.10121,Test Loss:1.26315, Train_MSE:0.10121, Train_RMSE:0.31814, Train_MAE:0.16657,Test_MSE:1.26315, Test_RMSE:1.12390, Test_MAE:0.83714, Time:0:04:31
Epochs:2000, Train Loss:0.05309,Test Loss:1.39020, Train_MSE:0.05309, Train_RMSE:0.23041, Train_MAE:0.12042,Test_MSE:1.39020, Test_RMSE:1.17907, Test_MAE:0.87273, Time:0:04:38
Epochs:2050, Train Loss:0.11550,Test Loss:1.37722, Train_MSE:0.11550, Train_RMSE:0.33986, Train_MAE:0.21038,Test_MSE:1.37722, Test_RMSE:1.17355, Test_MAE:0.85433, Time:0:04:46
Epochs:2100, Train Loss:0.05188,Test Loss:1.30690, Train_MSE:0.05188, Train_RMSE:0.22776, Train_MAE:0.17254,Test_MSE:1.30690, Test_RMSE:1.14320, Test_MAE:0.82632, Time:0:04:54
Epochs:2150, Train Loss:0.05307,Test Loss:1.28082, Train_MSE:0.05307, Train_RMSE:0.23036, Train_MAE:0.11912,Test_MSE:1.28082, Test_RMSE:1.13173, Test_MAE:0.85428, Time:0:05:01
Epochs:2200, Train Loss:0.03081,Test Loss:1.36378, Train_MSE:0.03081, Train_RMSE:0.17554, Train_MAE:0.11993,Test_MSE:1.36378, Test_RMSE:1.16781, Test_MAE:0.85533, Time:0:05:09
Epochs:2250, Train Loss:0.72227,Test Loss:1.23027, Train_MSE:0.72227, Train_RMSE:0.84986, Train_MAE:0.41102,Test_MSE:1.23027, Test_RMSE:1.10918, Test_MAE:0.81783, Time:0:05:17
Epochs:2300, Train Loss:0.12143,Test Loss:1.39508, Train_MSE:0.12143, Train_RMSE:0.34847, Train_MAE:0.21977,Test_MSE:1.39508, Test_RMSE:1.18114, Test_MAE:0.85431, Time:0:05:25
Epochs:2350, Train Loss:0.01443,Test Loss:1.45585, Train_MSE:0.01443, Train_RMSE:0.12013, Train_MAE:0.06363,Test_MSE:1.45585, Test_RMSE:1.20659, Test_MAE:0.88604, Time:0:05:33
Epochs:2400, Train Loss:0.05574,Test Loss:1.43720, Train_MSE:0.05574, Train_RMSE:0.23610, Train_MAE:0.12788,Test_MSE:1.43720, Test_RMSE:1.19883, Test_MAE:0.88348, Time:0:05:41
Epochs:2450, Train Loss:0.09048,Test Loss:1.34229, Train_MSE:0.09048, Train_RMSE:0.30080, Train_MAE:0.14029,Test_MSE:1.34229, Test_RMSE:1.15857, Test_MAE:0.86927, Time:0:05:49
Epochs:2500, Train Loss:0.63393,Test Loss:1.39975, Train_MSE:0.63393, Train_RMSE:0.79619, Train_MAE:0.31007,Test_MSE:1.39975, Test_RMSE:1.18311, Test_MAE:0.88605, Time:0:05:57
==>在校验数据集合上已经很长时间没有提升了，模型自动停止训练
