==> Use accelerator:  cpu
==>当前使用的模型为：CNN_GRU
==>加载数据中...
==>开始训练...
Epochs:0, Train Loss:0.84052,Test Loss:1.10094, Train_MSE:0.84052, Train_RMSE:0.91680, Train_MAE:0.64976,Test_MSE:1.10094, Test_RMSE:1.04926, Test_MAE:0.74617, Time:0:00:00 *
Epochs:550, Train Loss:0.09518,Test Loss:1.58379, Train_MSE:0.09518, Train_RMSE:0.30850, Train_MAE:0.16680,Test_MSE:1.58379, Test_RMSE:1.25849, Test_MAE:0.96242, Time:0:01:29
Epochs:600, Train Loss:0.04556,Test Loss:1.60764, Train_MSE:0.04556, Train_RMSE:0.21344, Train_MAE:0.15600,Test_MSE:1.60764, Test_RMSE:1.26793, Test_MAE:0.96856, Time:0:01:37
Epochs:650, Train Loss:0.01564,Test Loss:1.61683, Train_MSE:0.01564, Train_RMSE:0.12506, Train_MAE:0.10956,Test_MSE:1.61683, Test_RMSE:1.27155, Test_MAE:0.96045, Time:0:01:45 *
Epochs:700, Train Loss:0.00080,Test Loss:1.63171, Train_MSE:0.00080, Train_RMSE:0.02827, Train_MAE:0.02457,Test_MSE:1.63171, Test_RMSE:1.27739, Test_MAE:0.97458, Time:0:01:53 *
Epochs:750, Train Loss:0.01757,Test Loss:1.58411, Train_MSE:0.01757, Train_RMSE:0.13254, Train_MAE:0.09976,Test_MSE:1.58411, Test_RMSE:1.25861, Test_MAE:0.94373, Time:0:02:01
Epochs:800, Train Loss:0.00074,Test Loss:1.56207, Train_MSE:0.00074, Train_RMSE:0.02720, Train_MAE:0.01954,Test_MSE:1.56207, Test_RMSE:1.24983, Test_MAE:0.92350, Time:0:02:09 *
Epochs:850, Train Loss:0.07389,Test Loss:1.62014, Train_MSE:0.07389, Train_RMSE:0.27183, Train_MAE:0.19743,Test_MSE:1.62014, Test_RMSE:1.27285, Test_MAE:0.94839, Time:0:02:17
Epochs:900, Train Loss:0.01521,Test Loss:1.59489, Train_MSE:0.01521, Train_RMSE:0.12334, Train_MAE:0.07597,Test_MSE:1.59489, Test_RMSE:1.26289, Test_MAE:0.93577, Time:0:02:25
Epochs:950, Train Loss:0.03159,Test Loss:1.65926, Train_MSE:0.03159, Train_RMSE:0.17773, Train_MAE:0.14758,Test_MSE:1.65926, Test_RMSE:1.28812, Test_MAE:0.97165, Time:0:02:33
Epochs:1000, Train Loss:0.01183,Test Loss:1.61211, Train_MSE:0.01183, Train_RMSE:0.10878, Train_MAE:0.09687,Test_MSE:1.61211, Test_RMSE:1.26969, Test_MAE:0.91303, Time:0:02:41
Epochs:1050, Train Loss:0.03926,Test Loss:1.59996, Train_MSE:0.03926, Train_RMSE:0.19813, Train_MAE:0.17776,Test_MSE:1.59996, Test_RMSE:1.26490, Test_MAE:0.94511, Time:0:02:50
Epochs:1100, Train Loss:0.04154,Test Loss:1.59456, Train_MSE:0.04154, Train_RMSE:0.20382, Train_MAE:0.15034,Test_MSE:1.59456, Test_RMSE:1.26276, Test_MAE:0.93955, Time:0:02:58
Epochs:1150, Train Loss:0.00345,Test Loss:1.76971, Train_MSE:0.00345, Train_RMSE:0.05873, Train_MAE:0.05187,Test_MSE:1.76971, Test_RMSE:1.33031, Test_MAE:1.01197, Time:0:03:06
Epochs:1200, Train Loss:0.00192,Test Loss:1.70333, Train_MSE:0.00192, Train_RMSE:0.04382, Train_MAE:0.03979,Test_MSE:1.70333, Test_RMSE:1.30512, Test_MAE:0.95472, Time:0:03:14
Epochs:1250, Train Loss:0.04887,Test Loss:1.76796, Train_MSE:0.04887, Train_RMSE:0.22107, Train_MAE:0.16289,Test_MSE:1.76796, Test_RMSE:1.32965, Test_MAE:1.01571, Time:0:03:22
Epochs:1300, Train Loss:0.66097,Test Loss:1.81498, Train_MSE:0.66097, Train_RMSE:0.81300, Train_MAE:0.39603,Test_MSE:1.81498, Test_RMSE:1.34721, Test_MAE:1.04725, Time:0:03:30
Epochs:1350, Train Loss:0.02080,Test Loss:1.80315, Train_MSE:0.02080, Train_RMSE:0.14421, Train_MAE:0.07223,Test_MSE:1.80315, Test_RMSE:1.34281, Test_MAE:1.00371, Time:0:03:38
Epochs:1400, Train Loss:0.08886,Test Loss:1.69089, Train_MSE:0.08886, Train_RMSE:0.29809, Train_MAE:0.11580,Test_MSE:1.69089, Test_RMSE:1.30034, Test_MAE:0.95584, Time:0:03:47
Epochs:1450, Train Loss:0.14388,Test Loss:1.79247, Train_MSE:0.14388, Train_RMSE:0.37931, Train_MAE:0.23392,Test_MSE:1.79247, Test_RMSE:1.33883, Test_MAE:1.02727, Time:0:03:55
Epochs:1500, Train Loss:0.01312,Test Loss:1.58786, Train_MSE:0.01312, Train_RMSE:0.11456, Train_MAE:0.09768,Test_MSE:1.58786, Test_RMSE:1.26010, Test_MAE:0.96033, Time:0:04:04
Epochs:1550, Train Loss:0.00128,Test Loss:1.74624, Train_MSE:0.00128, Train_RMSE:0.03582, Train_MAE:0.02885,Test_MSE:1.74624, Test_RMSE:1.32145, Test_MAE:0.99697, Time:0:04:13
Epochs:1600, Train Loss:0.00369,Test Loss:1.80315, Train_MSE:0.00369, Train_RMSE:0.06075, Train_MAE:0.04477,Test_MSE:1.80315, Test_RMSE:1.34282, Test_MAE:1.00326, Time:0:04:21
Epochs:1650, Train Loss:0.00170,Test Loss:1.82004, Train_MSE:0.00170, Train_RMSE:0.04120, Train_MAE:0.03305,Test_MSE:1.82004, Test_RMSE:1.34909, Test_MAE:1.02478, Time:0:04:28
Epochs:1700, Train Loss:0.05839,Test Loss:1.61796, Train_MSE:0.05839, Train_RMSE:0.24165, Train_MAE:0.14866,Test_MSE:1.61796, Test_RMSE:1.27199, Test_MAE:0.91582, Time:0:04:36
Epochs:1750, Train Loss:0.00472,Test Loss:1.81520, Train_MSE:0.00472, Train_RMSE:0.06873, Train_MAE:0.06028,Test_MSE:1.81520, Test_RMSE:1.34729, Test_MAE:1.00704, Time:0:04:44
Epochs:1800, Train Loss:0.08958,Test Loss:1.77624, Train_MSE:0.08958, Train_RMSE:0.29930, Train_MAE:0.12528,Test_MSE:1.77624, Test_RMSE:1.33275, Test_MAE:0.97032, Time:0:04:52
==>在校验数据集合上已经很长时间没有提升了，模型自动停止训练
****************************************************************************************************
==>加载已训练好的模型...
