==>当前使用的模型为：Seq2Seq
==>加载数据中...
==>开始训练...
Epochs:0, Loss:1.19857, MSE:1.19857, RMSE:1.09479, MAE:0.78761, Time:0:00:01 *
Epochs:530, Loss:0.29802, MSE:0.29802, RMSE:0.54591, MAE:0.34238, Time:0:02:34
Epochs:540, Loss:0.15307, MSE:0.15307, RMSE:0.39125, MAE:0.25808, Time:0:02:37
Epochs:550, Loss:0.11627, MSE:0.11627, RMSE:0.34098, MAE:0.23267, Time:0:02:40 *
Epochs:560, Loss:0.09250, MSE:0.09250, RMSE:0.30414, MAE:0.20748, Time:0:02:43 *
Epochs:570, Loss:0.11130, MSE:0.11130, RMSE:0.33362, MAE:0.24377, Time:0:02:46
Epochs:580, Loss:0.12110, MSE:0.12110, RMSE:0.34800, MAE:0.24089, Time:0:02:49
Epochs:590, Loss:0.09220, MSE:0.09220, RMSE:0.30364, MAE:0.19808, Time:0:02:52 *
Epochs:600, Loss:0.13508, MSE:0.13508, RMSE:0.36753, MAE:0.25087, Time:0:02:55
Epochs:610, Loss:0.06393, MSE:0.06393, RMSE:0.25284, MAE:0.18756, Time:0:02:58 *
Epochs:620, Loss:0.10220, MSE:0.10220, RMSE:0.31969, MAE:0.22903, Time:0:03:01
Epochs:630, Loss:0.07123, MSE:0.07123, RMSE:0.26690, MAE:0.18617, Time:0:03:04
Epochs:640, Loss:0.07633, MSE:0.07633, RMSE:0.27628, MAE:0.20745, Time:0:03:07
Epochs:650, Loss:0.04239, MSE:0.04239, RMSE:0.20590, MAE:0.15845, Time:0:03:09 *
Epochs:660, Loss:0.03843, MSE:0.03843, RMSE:0.19602, MAE:0.14218, Time:0:03:12 *
Epochs:670, Loss:0.10991, MSE:0.10991, RMSE:0.33153, MAE:0.23120, Time:0:03:15
Epochs:680, Loss:0.06935, MSE:0.06935, RMSE:0.26334, MAE:0.20114, Time:0:03:18
Epochs:690, Loss:0.09830, MSE:0.09830, RMSE:0.31353, MAE:0.20505, Time:0:03:21
Epochs:700, Loss:0.05794, MSE:0.05794, RMSE:0.24071, MAE:0.17890, Time:0:03:24
Epochs:710, Loss:0.04050, MSE:0.04050, RMSE:0.20124, MAE:0.14887, Time:0:03:27
Epochs:720, Loss:0.02888, MSE:0.02888, RMSE:0.16994, MAE:0.12143, Time:0:03:30 *
Epochs:730, Loss:0.16776, MSE:0.16776, RMSE:0.40958, MAE:0.27223, Time:0:03:33
Epochs:740, Loss:0.08268, MSE:0.08268, RMSE:0.28754, MAE:0.22178, Time:0:03:36
Epochs:750, Loss:0.01676, MSE:0.01676, RMSE:0.12946, MAE:0.10095, Time:0:03:39 *
Epochs:760, Loss:0.01271, MSE:0.01271, RMSE:0.11272, MAE:0.08788, Time:0:03:42 *
Epochs:770, Loss:0.02325, MSE:0.02325, RMSE:0.15248, MAE:0.11208, Time:0:03:45
Epochs:780, Loss:0.01487, MSE:0.01487, RMSE:0.12192, MAE:0.09130, Time:0:03:48
Epochs:790, Loss:0.01820, MSE:0.01820, RMSE:0.13490, MAE:0.11050, Time:0:03:50
Epochs:800, Loss:0.00659, MSE:0.00659, RMSE:0.08119, MAE:0.05655, Time:0:03:53 *
Epochs:810, Loss:0.10615, MSE:0.10615, RMSE:0.32580, MAE:0.23822, Time:0:03:56
Epochs:820, Loss:0.02493, MSE:0.02493, RMSE:0.15789, MAE:0.12387, Time:0:03:59
Epochs:830, Loss:0.00595, MSE:0.00595, RMSE:0.07717, MAE:0.05507, Time:0:04:02 *
Epochs:840, Loss:0.00846, MSE:0.00846, RMSE:0.09200, MAE:0.06375, Time:0:04:05
Epochs:850, Loss:0.00653, MSE:0.00653, RMSE:0.08082, MAE:0.06015, Time:0:04:07
Epochs:860, Loss:0.02870, MSE:0.02870, RMSE:0.16940, MAE:0.11967, Time:0:04:10
Epochs:870, Loss:0.03576, MSE:0.03576, RMSE:0.18910, MAE:0.14194, Time:0:04:13
Epochs:880, Loss:0.04721, MSE:0.04721, RMSE:0.21727, MAE:0.16175, Time:0:04:16
Epochs:890, Loss:0.02000, MSE:0.02000, RMSE:0.14141, MAE:0.11029, Time:0:04:19
Epochs:900, Loss:0.01948, MSE:0.01948, RMSE:0.13958, MAE:0.11188, Time:0:04:22
Epochs:910, Loss:0.00721, MSE:0.00721, RMSE:0.08493, MAE:0.06660, Time:0:04:24
Epochs:920, Loss:0.00597, MSE:0.00597, RMSE:0.07724, MAE:0.05655, Time:0:04:27
Epochs:930, Loss:0.01080, MSE:0.01080, RMSE:0.10391, MAE:0.08340, Time:0:04:30
==>在校验数据集合上已经很长时间没有提升了，模型自动停止训练
